strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Swing_SR,XAGUSD,M15,199,58.79,-19.14,-34.87,-1.3115,-1.8156,-24.83,0.85,1.1328,1.8404,8085.73
RSI,XAGUSD,M15,314,42.36,-28.22,-48.79,-1.8685,-2.5236,-34.83,0.85,1.3235,1.1367,7177.78
RSI,AUDUSD,M15,288,46.53,-5.05,-9.88,-2.4629,-3.6501,-5.59,0.8,0.1602,0.1728,9495.11
EMA_Cross,XAGUSD,M15,537,38.18,-42.55,-67.32,-2.9731,-4.2916,-54.02,0.83,1.0838,0.8267,5744.75
Stochastic,XAGUSD,M15,825,45.58,-55.81,-80.76,-3.1185,-4.5952,-56.08,0.83,1.0973,1.0848,4418.56
Swing_SR,EURUSD,M15,241,58.09,-4.68,-9.17,-3.2731,-5.0273,-4.9,0.71,0.0822,0.1612,9532.06
Swing_SR,XAUUSD,M15,195,57.44,-26.38,-46.1,-3.4187,-3.2691,-27.0,0.58,0.3969,0.8968,7362.08
RSI,EURUSD,M15,284,48.94,-4.59,-8.99,-3.5246,-4.9406,-5.22,0.73,0.0924,0.1208,9541.45
RSI,USDCHF,M15,268,45.52,-6.22,-12.08,-3.7711,-5.0514,-6.79,0.69,0.1164,0.141,9378.37
Swing_SR,NZDJPY,M15,229,57.21,-7.41,-14.32,-3.8985,-4.814,-7.64,0.65,0.1089,0.2238,9259.06
Swing_SR,NZDUSD,M15,238,55.88,-9.05,-17.33,-4.3918,-5.8394,-9.75,0.65,0.1306,0.2553,9095.04
RSI,XAUUSD,M15,306,39.22,-27.19,-47.29,-4.7173,-6.1276,-27.34,0.68,0.5628,0.5303,7281.06
MACD,XAGUSD,M15,915,36.07,-69.43,-90.85,-4.9422,-8.5439,-75.27,0.81,1.0719,0.7976,3057.07
RSI,USDJPY,M15,281,45.2,-8.52,-16.36,-4.9554,-5.5311,-8.62,0.57,0.0957,0.1365,9148.35
Bollinger,XAGUSD,M15,631,42.79,-64.25,-87.45,-5.0111,-7.0441,-65.18,0.74,1.0284,1.0394,3575.43
Swing_SR,AUDUSD,M15,233,52.36,-10.05,-19.15,-5.0121,-6.2874,-10.24,0.61,0.1375,0.246,8994.91
Swing_SR,GBPUSD,M15,237,54.01,-7.84,-15.12,-5.062,-5.9347,-7.92,0.56,0.0817,0.1706,9215.52
RSI,XRPUSD,M15,408,40.93,-68.23,-89.86,-5.0986,-5.2553,-68.45,0.53,0.8084,1.0263,3177.25
RSI,GBPUSD,M15,302,45.7,-8.25,-15.88,-5.1103,-6.4223,-9.02,0.62,0.1009,0.1373,9174.53
Bollinger,AUDUSD,M15,677,44.31,-15.78,-29.15,-5.1264,-7.5719,-16.56,0.7,0.1325,0.1507,8422.35
Swing_SR,USDJPY,M15,240,52.08,-9.16,-17.53,-5.1805,-6.5335,-9.21,0.52,0.0847,0.1753,9084.43
Swing_SR,ETHUSD,M15,305,50.16,-62.66,-86.0,-5.2015,-6.7034,-62.99,0.49,0.6896,1.3271,3734.02
Swing_SR,LTCUSD,M15,315,52.06,-59.38,-83.44,-5.2025,-6.9005,-61.17,0.55,0.556,1.1892,4062.04
Stochastic,AUDUSD,M15,942,48.94,-14.7,-27.32,-5.2369,-7.8602,-15.13,0.79,0.1304,0.1578,8529.75
RSI,ETHUSD,M15,398,41.21,-66.34,-88.62,-5.7493,-6.97,-66.08,0.56,0.817,1.0282,3366.15
EMA_Cross,XAUUSD,M15,547,37.29,-39.12,-63.26,-5.9211,-7.2658,-39.67,0.65,0.423,0.3946,6088.31
RSI,LTCUSD,M15,352,42.9,-58.5,-82.71,-6.1067,-7.5732,-59.32,0.53,0.6712,0.9338,4150.5
RSI,AUDJPY,M15,309,45.95,-14.42,-26.84,-6.1226,-7.7418,-15.11,0.53,0.1243,0.1986,8558.16
Swing_SR,EURJPY,M15,232,56.9,-8.94,-17.13,-6.1701,-8.4935,-9.15,0.44,0.0551,0.1662,9105.99
RSI,XAGUSD,M5,851,42.89,-67.53,-89.67,-6.3012,-7.4369,-68.7,0.7,0.6759,0.7323,3247.15
Parabolic_SAR,XAGUSD,M15,1012,36.56,-77.99,-95.28,-6.3037,-9.2499,-78.05,0.76,1.0811,0.8484,2201.35
RSI,NZDUSD,M15,323,42.11,-14.48,-26.95,-6.3935,-7.91,-14.79,0.55,0.1427,0.1872,8551.59
RSI,USDCAD,M15,278,44.96,-6.96,-13.49,-6.4809,-8.1568,-7.14,0.52,0.0618,0.0976,9303.55
Stochastic,XAUUSD,M15,828,43.36,-45.49,-70.61,-6.5053,-9.4228,-45.4,0.74,0.4519,0.4724,5451.04
Swing_SR,USDCHF,M15,230,48.26,-12.09,-22.79,-6.5396,-10.2098,-12.19,0.48,0.1063,0.2071,8790.93
Swing_SR,USDCAD,M15,288,51.04,-8.81,-16.91,-6.5646,-7.7623,-8.86,0.48,0.0577,0.1255,9118.53
Swing_SR,XRPUSD,M15,311,48.55,-69.44,-90.61,-6.7484,-7.3406,-69.64,0.41,0.5655,1.2616,3056.07
EMA_Cross,AUDUSD,M15,609,37.44,-19.12,-34.68,-6.8625,-8.9949,-19.17,0.6,0.1399,0.1392,8088.18
Bollinger,XAUUSD,M15,643,42.61,-48.04,-73.32,-6.8938,-9.6105,-48.38,0.62,0.3807,0.4577,5195.78
Bollinger,USDCHF,M15,667,44.98,-15.63,-28.9,-6.9588,-9.873,-15.71,0.62,0.0919,0.1213,8437.23
Swing_SR,AUDJPY,M15,206,53.88,-13.23,-24.79,-7.016,-9.4244,-13.57,0.45,0.1068,0.2736,8676.83
Stochastic,USDCHF,M15,977,47.08,-20.25,-36.49,-7.3067,-9.7819,-21.18,0.66,0.0946,0.1278,7975.33
MACD,XAUUSD,M15,934,36.83,-55.35,-80.35,-7.3612,-8.3323,-55.49,0.63,0.4382,0.3901,4465.15
Swing_SR,BTCUSD,M15,321,46.11,-63.79,-86.84,-7.5902,-9.513,-65.74,0.38,0.4314,0.949,3620.7
RSI,NZDJPY,M15,307,40.39,-17.59,-32.18,-7.642,-9.1441,-17.84,0.44,0.1202,0.187,8240.84
Swing_SR,GBPAUD,M15,230,50.43,-14.62,-27.19,-7.7895,-9.2818,-14.67,0.34,0.0698,0.2094,8537.54
RSI,AUDUSD,M5,841,45.42,-18.78,-34.28,-8.0697,-10.1114,-18.95,0.59,0.0798,0.1116,8122.21
Swing_SR,AUDUSD,M5,753,55.11,-17.42,-32.04,-8.1178,-11.269,-17.64,0.6,0.0683,0.1403,8258.26
MACD,AUDUSD,M15,1011,38.38,-23.17,-41.09,-8.1305,-11.4433,-24.01,0.67,0.137,0.1275,7682.52
RSI,BTCUSD,M15,403,38.46,-70.69,-91.36,-8.2169,-9.2894,-71.0,0.4,0.5422,0.8283,2931.19
RSI,GBPCHF,M15,278,46.4,-12.64,-23.75,-8.2636,-8.9896,-12.79,0.39,0.0658,0.1475,8735.99
Swing_SR,XAGUSD,M5,629,53.74,-70.36,-91.4,-8.3259,-10.3459,-71.07,0.58,0.5136,1.005,2964.01
Swing_SR,CADJPY,M15,260,49.23,-14.2,-26.46,-8.3386,-10.7101,-14.29,0.35,0.0645,0.1783,8580.08
RSI,CADJPY,M15,279,41.22,-16.14,-29.76,-8.3848,-9.8935,-16.14,0.32,0.0715,0.1573,8385.84
Parabolic_SAR,AUDUSD,M15,1099,39.04,-26.39,-45.93,-8.4736,-12.8838,-26.59,0.65,0.1327,0.1305,7361.1
RSI,GBPAUD,M15,280,43.93,-13.7,-25.6,-8.5192,-9.8013,-14.0,0.42,0.0837,0.1593,8629.72
RSI,EURJPY,M15,282,42.91,-15.01,-27.85,-8.5275,-8.9583,-14.97,0.32,0.0635,0.1486,8499.15
RSI,XAUUSD,M5,824,42.11,-49.11,-74.42,-8.5511,-10.4562,-49.57,0.59,0.2744,0.34,5088.83
RSI,EURAUD,M15,302,44.04,-14.96,-27.76,-8.5905,-10.5731,-15.06,0.39,0.0771,0.1564,8504.37
Stochastic,USDJPY,M15,881,45.74,-19.66,-35.55,-8.686,-11.4442,-19.86,0.61,0.0836,0.1162,8034.16
Parabolic_SAR,XAUUSD,M15,1012,37.75,-55.58,-80.55,-8.7712,-11.9978,-56.0,0.66,0.4199,0.3815,4442.08
Swing_SR,EURAUD,M15,243,51.85,-14.19,-26.44,-8.8105,-12.2371,-14.05,0.35,0.0642,0.1996,8581.28
